,,euc_norm,time(s),,euc_norm,time(s),,euc_norm,time(s),
pendulum,,21.38,0.196,,1.37,6.371,,1.37,22.052,
spring,,89.65,0.137,,89.65,1.709,,0.03,20.567,
fhn,,49.56,0.131,,35.64,3.047,,0.6,19.421,
robe21,,6.43,0.132,,6.43,1.356,,25.99,21.836,
prde20,,26.51,0.133,,26.51,1.36,,2.07,24.356,
lalo20,,5.47,0.151,,0.21,4.701,,0.04,20.943,
bio2,,0.06,0.15,,0.06,1.978,,0.01,23.04,
trn_constants,,27.45,0.608,,27.45,2.916,,4.6,36.376,
pendulum_withD_oncontrol,,21.49,0.193,,2.19,6.504,,1.77,21.899,
pendulum_withD_onfullstate,,28.97,0.179,,7.71,6.41,,5.56,24.763,
